date,window_start,true_label,pred_label,confidence,n_retrieved,method
2009/6/25,2009/3/27,bear,bear,0.988,10,feature_knn_balanced_alpha1.0
2009/7/2,2009/4/3,bull,bear,0.9933,10,feature_knn_balanced_alpha1.0
2009/7/10,2009/4/13,bull,bear,0.9598,10,feature_knn_balanced_alpha1.0
2009/7/17,2009/4/20,bull,bear,0.9253,10,feature_knn_balanced_alpha1.0
2009/7/24,2009/4/27,bull,bear,0.7411,10,feature_knn_balanced_alpha1.0
2009/7/31,2009/5/4,bull,bull,0.507,10,feature_knn_balanced_alpha1.0
2009/8/7,2009/5/11,bull,bull,0.7072,10,feature_knn_balanced_alpha1.0
2009/8/14,2009/5/18,bull,bull,0.7625,10,feature_knn_balanced_alpha1.0
2009/8/21,2009/5/26,bull,bull,0.8545,10,feature_knn_balanced_alpha1.0
2009/8/28,2009/6/2,bull,bull,0.8559,10,feature_knn_balanced_alpha1.0
2009/9/4,2009/6/9,bull,bull,0.8046,10,feature_knn_balanced_alpha1.0
2009/9/14,2009/6/16,bull,bull,0.9446,10,feature_knn_balanced_alpha1.0
2009/9/21,2009/6/23,bull,bull,0.9614,10,feature_knn_balanced_alpha1.0
2009/9/28,2009/6/30,bull,bull,0.9535,10,feature_knn_balanced_alpha1.0
2009/10/5,2009/7/8,bull,bull,0.9869,10,feature_knn_balanced_alpha1.0
2009/10/12,2009/7/15,bull,bull,0.9941,10,feature_knn_balanced_alpha1.0
2009/10/19,2009/7/22,bull,bull,0.9963,10,feature_knn_balanced_alpha1.0
2009/10/26,2009/7/29,bull,bull,0.9754,10,feature_knn_balanced_alpha1.0
2009/11/2,2009/8/5,bull,bull,0.8238,10,feature_knn_balanced_alpha1.0
2009/11/9,2009/8/12,bull,bull,0.9807,10,feature_knn_balanced_alpha1.0
2009/11/16,2009/8/19,bull,bull,0.9949,10,feature_knn_balanced_alpha1.0
2009/11/23,2009/8/26,bull,bull,0.9883,10,feature_knn_balanced_alpha1.0
2009/12/1,2009/9/2,bull,bull,0.9913,10,feature_knn_balanced_alpha1.0
2009/12/8,2009/9/10,bull,bull,0.9772,10,feature_knn_balanced_alpha1.0
2009/12/15,2009/9/17,bull,bull,0.9847,10,feature_knn_balanced_alpha1.0
2009/12/22,2009/9/24,bull,bull,0.9927,10,feature_knn_balanced_alpha1.0
2009/12/30,2009/10/1,bull,bull,0.9955,10,feature_knn_balanced_alpha1.0
2010/1/7,2009/10/8,bull,bull,0.9944,10,feature_knn_balanced_alpha1.0
2010/1/14,2009/10/15,bull,bull,0.9959,10,feature_knn_balanced_alpha1.0
2010/1/22,2009/10/22,bull,bull,0.9212,10,feature_knn_balanced_alpha1.0
2010/1/29,2009/10/29,bull,bull,0.9044,10,feature_knn_balanced_alpha1.0
2010/2/5,2009/11/5,bull,bull,0.892,10,feature_knn_balanced_alpha1.0
2010/2/12,2009/11/12,bull,bull,0.921,10,feature_knn_balanced_alpha1.0
2010/2/22,2009/11/19,bull,bull,0.9058,10,feature_knn_balanced_alpha1.0
2010/3/1,2009/11/27,bull,bull,0.9629,10,feature_knn_balanced_alpha1.0
2010/3/8,2009/12/4,bull,bull,0.9878,10,feature_knn_balanced_alpha1.0
2010/3/15,2009/12/11,bull,bull,0.9946,10,feature_knn_balanced_alpha1.0
2010/3/22,2009/12/18,bull,bull,0.9964,10,feature_knn_balanced_alpha1.0
2010/3/29,2009/12/28,bull,bull,0.9965,10,feature_knn_balanced_alpha1.0
2010/4/6,2010/1/5,bull,bull,0.9975,10,feature_knn_balanced_alpha1.0
2010/4/13,2010/1/12,bull,bull,0.9983,10,feature_knn_balanced_alpha1.0
2010/4/20,2010/1/20,bull,bull,0.998,10,feature_knn_balanced_alpha1.0
2010/4/27,2010/1/27,bull,bull,0.9866,10,feature_knn_balanced_alpha1.0
2010/5/4,2010/2/3,bull,bull,0.983,10,feature_knn_balanced_alpha1.0
2010/5/11,2010/2/10,bull,bull,0.9277,10,feature_knn_balanced_alpha1.0
2010/5/18,2010/2/18,high_vol,bull,0.8171,10,feature_knn_balanced_alpha1.0
2010/5/25,2010/2/25,high_vol,high_vol,0.9849,11,feature_knn_balanced_alpha1.0
2010/6/2,2010/3/4,high_vol,high_vol,0.9828,12,feature_knn_balanced_alpha1.0
2010/6/9,2010/3/11,high_vol,high_vol,0.8127,13,feature_knn_balanced_alpha1.0
2010/6/16,2010/3/18,bull,high_vol,0.6769,14,feature_knn_balanced_alpha1.0
2010/6/23,2010/3/25,bull,bear,0.6415,14,feature_knn_balanced_alpha1.0
2010/6/30,2010/4/1,bull,high_vol,0.7201,14,feature_knn_balanced_alpha1.0
2010/7/8,2010/4/9,bull,bear,0.6695,14,feature_knn_balanced_alpha1.0
2010/7/15,2010/4/16,bull,high_vol,0.5419,14,feature_knn_balanced_alpha1.0
2010/7/22,2010/4/23,bull,high_vol,0.384,14,feature_knn_balanced_alpha1.0
2010/7/29,2010/4/30,bull,bear,0.6172,14,feature_knn_balanced_alpha1.0
2010/8/5,2010/5/7,bull,high_vol,0.4304,14,feature_knn_balanced_alpha1.0
2010/8/12,2010/5/14,bull,high_vol,0.673,14,feature_knn_balanced_alpha1.0
2010/8/19,2010/5/21,bull,high_vol,0.7079,14,feature_knn_balanced_alpha1.0
2010/8/26,2010/5/28,bull,high_vol,0.7061,14,feature_knn_balanced_alpha1.0
2010/9/2,2010/6/7,bull,high_vol,0.6153,14,feature_knn_balanced_alpha1.0
2010/9/10,2010/6/14,bull,high_vol,0.4306,14,feature_knn_balanced_alpha1.0
2010/9/17,2010/6/21,bull,bull,0.6603,14,feature_knn_balanced_alpha1.0
2010/9/24,2010/6/28,bull,bull,0.8574,14,feature_knn_balanced_alpha1.0
2010/10/1,2010/7/6,bull,bull,0.8404,14,feature_knn_balanced_alpha1.0
2010/10/8,2010/7/13,bull,bull,0.8954,14,feature_knn_balanced_alpha1.0
2010/10/15,2010/7/20,bull,bull,0.9576,14,feature_knn_balanced_alpha1.0
2010/10/22,2010/7/27,bull,bull,0.9622,14,feature_knn_balanced_alpha1.0
2010/10/29,2010/8/3,bull,bull,0.9709,14,feature_knn_balanced_alpha1.0
2010/11/5,2010/8/10,bull,bull,0.9913,14,feature_knn_balanced_alpha1.0
2010/11/12,2010/8/17,bull,bull,0.9551,14,feature_knn_balanced_alpha1.0
2010/11/19,2010/8/24,bull,bull,0.9816,14,feature_knn_balanced_alpha1.0
2010/11/29,2010/8/31,bull,bull,0.969,14,feature_knn_balanced_alpha1.0
2010/12/6,2010/9/8,bull,bull,0.9837,14,feature_knn_balanced_alpha1.0
2010/12/13,2010/9/15,bull,bull,0.9881,14,feature_knn_balanced_alpha1.0
2010/12/20,2010/9/22,bull,bull,0.9924,14,feature_knn_balanced_alpha1.0
2010/12/28,2010/9/29,bull,bull,0.9964,14,feature_knn_balanced_alpha1.0
2011/1/4,2010/10/6,bull,bull,0.9956,14,feature_knn_balanced_alpha1.0
2011/1/11,2010/10/13,bull,bull,0.9959,14,feature_knn_balanced_alpha1.0
2011/1/19,2010/10/20,bull,bull,0.9954,14,feature_knn_balanced_alpha1.0
2011/1/26,2010/10/27,bull,bull,0.9982,14,feature_knn_balanced_alpha1.0
2011/2/2,2010/11/3,bull,bull,0.9955,14,feature_knn_balanced_alpha1.0
2011/2/9,2010/11/10,bull,bull,0.9965,14,feature_knn_balanced_alpha1.0
2011/2/16,2010/11/17,bull,bull,0.9977,14,feature_knn_balanced_alpha1.0
2011/2/24,2010/11/24,bull,bull,0.9584,14,feature_knn_balanced_alpha1.0
2011/3/3,2010/12/2,bull,bull,0.9927,14,feature_knn_balanced_alpha1.0
2011/3/10,2010/12/9,bull,bull,0.9024,14,feature_knn_balanced_alpha1.0
2011/3/17,2010/12/16,bull,high_vol,0.5324,14,feature_knn_balanced_alpha1.0
2011/3/24,2010/12/23,bull,bull,0.9206,14,feature_knn_balanced_alpha1.0
2011/3/31,2010/12/31,bull,bull,0.9582,14,feature_knn_balanced_alpha1.0
2011/4/7,2011/1/7,bull,bull,0.987,14,feature_knn_balanced_alpha1.0
2011/4/14,2011/1/14,bull,bull,0.9793,14,feature_knn_balanced_alpha1.0
2011/4/21,2011/1/24,bull,bull,0.9895,14,feature_knn_balanced_alpha1.0
2011/4/29,2011/1/31,bull,bull,0.9936,14,feature_knn_balanced_alpha1.0
2011/5/6,2011/2/7,bull,bull,0.9388,14,feature_knn_balanced_alpha1.0
2011/5/13,2011/2/14,bull,bull,0.9563,14,feature_knn_balanced_alpha1.0
2011/5/20,2011/2/22,bull,bull,0.9559,14,feature_knn_balanced_alpha1.0
2011/5/27,2011/3/1,bull,bull,0.9723,14,feature_knn_balanced_alpha1.0
2011/6/6,2011/3/8,bull,bull,0.7829,14,feature_knn_balanced_alpha1.0
2011/6/13,2011/3/15,bull,bull,0.7372,14,feature_knn_balanced_alpha1.0
2011/6/20,2011/3/22,bull,bull,0.788,14,feature_knn_balanced_alpha1.0
2011/6/27,2011/3/29,bull,bull,0.7319,14,feature_knn_balanced_alpha1.0
2011/7/5,2011/4/5,bull,bull,0.9631,14,feature_knn_balanced_alpha1.0
